"Date   : 29-07-20 [10:19, Asi]                        Open Entries by Business Partner                                                                                Page      :    1",,,,,,,,,,,,
Obeikan FLEXIBLE                                                                                                                                                      Company   : 103,,,,,,,,,,,,
Company              From : 000           To   : 999         Business Partner Gr.     From :       To   : ннн       Credit Analyst       From :           To   : ннннннннн,,,,,,,,,,,,
Business Partner     From : CMA012        To   : CMA012      Transaction Type         From :       To   : ннн,,,,,,,,,,,,
Document             From :        0      To   : 99999999    Home Currency                 : SAR Saudi Riyal,,,,,,,,,,,,
Based  on                   Document Date                    Print Parent/Child Relation   : No Parent                 Doubtful Invoices                      : No,,,,,,,,,,,,
Invoice Date         From :               To   : 29-07-2020  Text                          : No                        Print Payment/Receipt Documents        : No,,,,,,,,,,,,
Receipt Date         From :               To   : 29-07-2020  Include Anticipated Payments in Invoice Balance         : No              From    : Not Applicable,,,,,,,,,,,,
Order Related Invoices    : No       None,,,,,,,,,,,,
Order Related Credit Notes: No                               Include Trade Notes in Invoice Balance                  : No              From    : Not Applicable,,,,,,,,,,,,
Cost Invoices             : No                               Anticipated Payments                                    : No              From    : Not Applicable,,,,,,,,,,,,
Cost Credit Notes         : No                               Trade Notes                                             : No              From    : Not Applicable,,,,,,,,,,,,
Normal Invoices           : Yes                              Unallocated Receipts          : Yes,,,,,,,,,,,,
Credit Notes              : Yes                              Advance Receipts              : Yes,,,,,,,,,,,,
Include Fully Paid        : No                               Include Advance Invoice/Payment Request           : Yes,,,,,,,,,,,,
Anticipated Receipts      : No                               From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Trade Notes               : No                               From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Include Anticipated Receipts in Invoice Balance    : No      From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Include Trade Notes in Invoice Balance             : No      From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Sort By         Dimension Type            :  1,,,,,,,,,,,,
____________________________________________________________________________________________________________________________________________________________________________________________,,,,,,,,,,,,
Document                 ,Sales Type  ,Doc. Date   ,Due Date    ,Ovd  ,Prob,Curr.,          Amount,     Amount In SAR,   Balance Amount,  Balance in HC SAR,Customer Invoice/Pmt Doc Type,
Sales Invoices        Business Partner    : CMA012               AL MARAI COMPANY,,,,,,,,,,,,
                                                                 PO BOX 8524                          PO BOX 8524,,,,,,,,,,,,
Company              : 103,,,,,,,,,,,,
ICN 22030039   0        0,1, 18-06-2020 , 18-06-2020 ,41,    , SAR ,"-2,205.00","-2,205.00","-2,205.00","-2,205.00",ISI 21832677        ,SR2000026
ICN 22030040   0        0,1, 18-06-2020 , 18-06-2020 ,41,    , SAR ,"-3,640.90","-3,640.90","-3,640.90","-3,640.90",ISI 21930750        ,SR2000039
ICN 22030042   0        0,1, 18-06-2020 , 18-06-2020 ,41,    , SAR ,"-2,756.25","-2,756.25",-131.25,-131.25,ISI 21734230        ,SR2000025
ICN 22030043   0        0,1, 18-06-2020 , 18-06-2020 ,41,    , SAR ,-829.45,-829.45,-829.45,-829.45,ISI 22030256        ,SR2000044
ICN 22030044   0        0,1, 18-06-2020 , 18-06-2020 ,41,    , SAR ,"-6,168.52","-6,168.52","-5,027.79","-5,027.79",ISI21833133         ,SR2000038
ISI 21831733   0        0,1, 31-05-2018 , 29-08-2018 ,700,    , SAR ,"6,449.63","6,449.63","6,449.63","6,449.63",                    ,D01054233
ISI 21832677   0        0,1, 28-08-2018 , 26-11-2018 ,611,    , SAR ,"6,798.75","6,798.75","6,798.75","6,798.75",                    ,D01056058
ISI 21841782   0        0,1, 31-10-2018 , 29-01-2019 ,547,    , SAR ,"48,431.25","48,431.25","48,431.25","48,431.25",                    ,SO4030073
ISI 21930750   0        0,1, 07-04-2019 , 06-07-2019 ,389,    , SAR ,"31,641.12","31,641.12","31,641.12","31,641.12",                    ,D01059271
ISI 22030256   0        0,1, 10-02-2020 , 10-05-2020 ,80,    , SAR ,"16,731.34","16,731.34","16,731.34","16,731.34",                    ,D01063658
ISI 22030842   0        0,1, 13-04-2020 , 12-07-2020 ,17,    , SAR ,"7,890.24","7,890.24","7,890.24","7,890.24",                    ,D01064550
ISI 22030843   0        0,1, 13-04-2020 , 12-07-2020 ,17,    , SAR ,"17,742.01","17,742.01","17,742.01","17,742.01",                    ,D01064551
ISI 22030909   0        0,1, 20-04-2020 , 19-07-2020 ,10,    , SAR ,"10,739.63","10,739.63","10,739.63","10,739.63",                    ,D01064662
ISI 22031055   0        0,1, 06-05-2020 , 04-08-2020 ,     ,    , SAR ,"10,300.50","10,300.50","10,300.50","10,300.50",                    ,D01064893
ISI 22031065   0        0,1, 07-05-2020 , 05-08-2020 ,     ,    , SAR ,"15,230.66","15,230.66","15,230.66","15,230.66",                    ,D01064916
ISI 22031068   0        0,1, 10-05-2020 , 08-08-2020 ,     ,    , SAR ,"13,527.10","13,527.10","13,527.10","13,527.10",                    ,D01064917
ISI 22031096   0        0,1, 14-05-2020 , 12-08-2020 ,     ,    , SAR ,"55,977.60","55,977.60","55,977.60","55,977.60",                    ,D01064948
ISI 22031101   0        0,1, 14-05-2020 , 12-08-2020 ,     ,    , SAR ,"10,300.50","10,300.50","10,300.50","10,300.50",                    ,D01064961
ISI 22031152   0        0,1, 24-05-2020 , 22-08-2020 ,     ,    , SAR ,"48,780.48","48,780.48","48,780.48","48,780.48",                    ,D01065038
ISI 22031172   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"37,084.75","37,084.75","37,084.75","37,084.75",                    ,D01065121
ISI 22031173   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"5,683.02","5,683.02","5,683.02","5,683.02",                    ,D01065133
ISI 22031174   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"16,647.08","16,647.08","16,647.08","16,647.08",                    ,D01065132
ISI 22031175   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"10,773.00","10,773.00","10,773.00","10,773.00",                    ,D01065131
ISI 22031176   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"10,773.00","10,773.00","10,773.00","10,773.00",                    ,D01065130
ISI 22031179   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"10,773.00","10,773.00","10,773.00","10,773.00",                    ,D01065128
ISI 22031181   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"30,901.50","30,901.50","30,901.50","30,901.50",                    ,D01065138
ISI 22031203   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"79,968.00","79,968.00","79,968.00","79,968.00",                    ,D01065195
ISI 22031214   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"39,984.00","39,984.00","39,984.00","39,984.00",                    ,D01065126
ISI 22031215   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"39,984.00","39,984.00","39,984.00","39,984.00",                    ,D01065125
ISI 22031216   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"87,964.80","87,964.80","87,964.80","87,964.80",                    ,D01065124
ISI 22031239   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"21,473.88","21,473.88","21,473.88","21,473.88",                    ,D01065120
ISI 22031240   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"35,910.00","35,910.00","35,910.00","35,910.00",                    ,D01065119
ISI 22031241   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"9,717.75","9,717.75","9,717.75","9,717.75",                    ,D01065134
ISI 22031242   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"14,860.51","14,860.51","14,860.51","14,860.51",                    ,D01065118
ISI 22031243   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"8,751.86","8,751.86","8,751.86","8,751.86",                    ,D01065117
ISI 22031244   0        0,1, 31-05-2020 , 29-08-2020 ,     ,    , SAR ,"16,248.08","16,248.08","16,248.08","16,248.08",                    ,D01065116
ISI 22031258   0        0,1, 07-06-2020 , 05-09-2020 ,     ,    , SAR ,"4,654.93","4,654.93","4,654.93","4,654.93",                    ,D01065244
ISI 22031259   0        0,1, 07-06-2020 , 05-09-2020 ,     ,    , SAR ,"10,764.54","10,764.54","10,764.54","10,764.54",                    ,D01065243
ISI 22031260   0        0,1, 07-06-2020 , 05-09-2020 ,     ,    , SAR ,"10,516.60","10,516.60","10,516.60","10,516.60",                    ,D01065242
ISI 22031305   0        0,1, 14-06-2020 , 12-09-2020 ,     ,    , SAR ,"26,389.44","26,389.44","26,389.44","26,389.44",                    ,D01065351
ISI 22031306   0        0,1, 14-06-2020 , 12-09-2020 ,     ,    , SAR ,"7,996.80","7,996.80","7,996.80","7,996.80",                    ,D01065353
ISI 22031307   0        0,1, 14-06-2020 , 12-09-2020 ,     ,    , SAR ,"7,996.80","7,996.80","7,996.80","7,996.80",                    ,D01065352
ISI 22031308   0        0,1, 14-06-2020 , 12-09-2020 ,     ,    , SAR ,"10,773.00","10,773.00","10,773.00","10,773.00",                    ,D01065350
ISI 22031335   0        0,1, 15-06-2020 , 13-09-2020 ,     ,    , SAR ,"18,797.19","18,797.19","18,797.19","18,797.19",                    ,D01065349
ISI 22031371   0        0,1, 18-06-2020 , 16-09-2020 ,     ,    , SAR ,"13,045.00","13,045.00","13,045.00","13,045.00",                    ,D01065444
ISI 22031372   0        0,1, 18-06-2020 , 16-09-2020 ,     ,    , SAR ,"12,723.51","12,723.51","12,723.51","12,723.51",                    ,D01065442
ISI 22031373   0        0,1, 18-06-2020 , 16-09-2020 ,     ,    , SAR ,"10,773.00","10,773.00","10,773.00","10,773.00",                    ,D01065447
ISI 22031392   0        0,1, 21-06-2020 , 19-09-2020 ,     ,    , SAR ,"13,820.86","13,820.86","13,820.86","13,820.86",                    ,D01065473
ISI 22031393   0        0,1, 21-06-2020 , 19-09-2020 ,     ,    , SAR ,"12,989.64","12,989.64","12,989.64","12,989.64",                    ,D01065475
ISI 22031394   0        0,1, 21-06-2020 , 19-09-2020 ,     ,    , SAR ,"7,896.61","7,896.61","7,896.61","7,896.61",                    ,D01065474
ISI 22031399   0        0,1, 21-06-2020 , 19-09-2020 ,     ,    , SAR ,"13,183.56","13,183.56","13,183.56","13,183.56",                    ,D01065472
ISI 22031640   0        0,1, 15-07-2020 , 13-10-2020 ,     ,    , SAR ,"39,861.30","39,861.30","39,861.30","39,861.30",                    ,D01065873
ISI 22031673   0        0,1, 20-07-2020 , 18-10-2020 ,     ,    , SAR ,"11,799.00","11,799.00","11,799.00","11,799.00",                    ,D01065942
ISI 22031674   0        0,1, 20-07-2020 , 18-10-2020 ,     ,    , SAR ,"11,799.00","11,799.00","11,799.00","11,799.00",                    ,D01065944
ISI 22031675   0        0,1, 20-07-2020 , 18-10-2020 ,     ,    , SAR ,"11,325.51","11,325.51","11,325.51","11,325.51",                    ,D01065943
ISI 22031678   0        0,1, 21-07-2020 , 19-10-2020 ,     ,    , SAR ,"11,799.00","11,799.00","11,799.00","11,799.00",                    ,D01065945
ISI 22031737   0        0,1, 26-07-2020 , 24-10-2020 ,     ,    , SAR ,"8,501.62","8,501.62","8,501.62","8,501.62",                    ,D01066053
ISI 22031738   0        0,1, 26-07-2020 , 24-10-2020 ,     ,    , SAR ,"9,852.75","9,852.75","9,852.75","9,852.75",                    ,D01066054
ISI 22031739   0        0,1, 26-07-2020 , 24-10-2020 ,     ,    , SAR ,"8,501.62","8,501.62","8,501.62","8,501.62",                    ,D01066052
ISI 22031748   0        0,1, 26-07-2020 , 24-10-2020 ,     ,    , SAR ,"35,033.60","35,033.60","35,033.60","35,033.60",                    ,D01066061
ISI 22040479   0        0,1, 09-04-2020 , 08-07-2020 ,21,    , SAR ,"134,820.00","134,820.00","134,820.00","134,820.00",                    ,SO4034404
ISI 22040632   0        0,1, 06-05-2020 , 04-08-2020 ,     ,    , SAR ,"26,964.00","26,964.00","26,964.00","26,964.00",                    ,SO4034687
ISI 22040646   0        0,1, 12-05-2020 , 10-08-2020 ,     ,    , SAR ,"107,856.00","107,856.00","107,856.00","107,856.00",                    ,SO4034719
ISI 22040830   0        0,1, 25-06-2020 , 23-09-2020 ,     ,    , SAR ,"44,940.00","44,940.00","44,940.00","44,940.00",                    ,SO4035095
ISI 22040879   0        0,1, 06-07-2020 , 04-10-2020 ,     ,    , SAR ,"44,940.00","44,940.00","44,940.00","44,940.00",                    ,SO4035178
ISI 22040900   0        0,1, 06-07-2020 , 04-10-2020 ,     ,    , SAR ,"62,916.00","62,916.00","62,916.00","62,916.00",                    ,SO4035178
ISI 22040920   0        0,1, 13-07-2020 , 11-10-2020 ,     ,    , SAR ,"118,128.00","118,128.00","118,128.00","118,128.00",                    ,SO4035272
SCN 21830099   0        0,1, 23-04-2019 , 22-07-2019 ,373,    , SAR ,-744.19,-744.19,-744.19,-744.19,ISI-21831733        ,580
"               Sales Invoices          TOTAL FOR BUSINESS PARTNER     CMA012                              1633,053.61                           1636,819.34",,,,,,,,,,,,
                                       Total for Currency                  , SAR ,"1,633,053.61",                  ,"1,636,819.34",,,,,,,,
                                                                                                   ------------------                    ------------------,,,,,,,,,,,,
"                                                                            TOTAL                         1633,053.61                           1636,819.34",,,,,,,,,,,,
                                                                                                   ==================                    ==================,,,,,,,,,,,,
                                       Total for Currency                  , SAR ,"1,633,053.61",                  ,"1,636,819.34",,,,,,,,
